School Name,School Code,Link (Excel),Direct URL
P0101 AZANIA  CENTRE,results\p0101,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\p0101.htm
P0104 BWIRU BOYS  CENTRE,results\p0104,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\p0104.htm
P0108 IFUNDA  CENTRE,results\p0108,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\p0108.htm
P0110 ILBORU  CENTRE,results\p0110,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\p0110.htm
P0112 IYUNGA  CENTRE,results\p0112,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\p0112.htm
P0116 KANTALAMBA  CENTRE,results\p0116,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\p0116.htm
P0119 KIBAHA  CENTRE,results\p0119,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\p0119.htm
P0134 MOSHI  CENTRE,results\p0134,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\p0134.htm
P0136 MUSOMA  CENTRE,results\p0136,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\p0136.htm
P0138 MPWAPWA  CENTRE,results\p0138,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\p0138.htm
P0140 MZUMBE  CENTRE,results\p0140,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\p0140.htm
P0147 PUGU  CENTRE,results\p0147,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\p0147.htm
P0152 SHINYANGA  CENTRE,results\p0152,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\p0152.htm
P0153 SONGEA BOYS  CENTRE,results\p0153,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\p0153.htm
P0156 TANGA TECHNICAL  CENTRE,results\p0156,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\p0156.htm
P0157 HANGA RELIGIOUS SEMINARY CENTRE,results\p0157,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\p0157.htm
P0167 KIDUGALA SEMINARY CENTRE,results\p0167,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\p0167.htm
